Mutated_genes,Structural_variants_genes,CNA_genes,DEG_posi,DEG_nega,DEG,Epi_modiffications,All
NA,NA,NA,Prot_B3KNK9,Prot_B2KYM6,Prot_B3KNK9,Prot_A0A024RD97,Prot_A0A024RD97
NA,NA,NA,Prot_Q8NBJ4,Prot_Q8NET8,Prot_Q8NBJ4,Prot_Q9Y6R1,Prot_Q9Y6R1
NA,NA,NA,Prot_A0PJ49,Prot_Q96NX5,Prot_A0PJ49,Prot_A5JJ20,Prot_A5JJ20
NA,NA,NA,Prot_Q8N441,Prot_P11217,Prot_Q8N441,Prot_F6KD01,Prot_F6KD01
NA,NA,NA,Prot_P49450,Prot_O95622,Prot_P49450,Prot_P60484,Prot_P60484
NA,NA,NA,Prot_A0A024RCS7,Prot_B7Z2C7,Prot_A0A024RCS7,Prot_P15056,Prot_P15056
NA,NA,NA,Prot_Q9BW19,Prot_B3KWA8,Prot_Q9BW19,Prot_A0A024R9C2,Prot_A0A024R9C2
NA,NA,NA,Prot_P21754,Prot_Q9P2P1,Prot_P21754,Prot_P28324,Prot_P28324
NA,NA,NA,Prot_Q13087,Prot_Q6ZNF0,Prot_Q13087,Prot_Q8IXL1,Prot_Q8IXL1
NA,NA,NA,Prot_A0A024R7R8,Prot_A8K3J4,Prot_A0A024R7R8,Prot_A0A024R997,Prot_A0A024R997
NA,NA,NA,Prot_Q8TB68,Prot_Q9ULX7,Prot_Q8TB68,Prot_F5GY10,Prot_F5GY10
NA,NA,NA,Prot_O15392,Prot_Q8N695,Prot_O15392,Prot_Q99081,Prot_Q99081
NA,NA,NA,Prot_H3BLT4,Prot_Q9NT22,Prot_H3BLT4,Prot_A0A024R5Z0,Prot_A0A024R5Z0
NA,NA,NA,Prot_A0A0B4J1S3,Prot_P55064,Prot_A0A0B4J1S3,Prot_A0A024R5T1,Prot_A0A024R5T1
NA,NA,NA,Prot_P48066,Prot_P35368,Prot_P48066,Prot_Q8NHM5,Prot_Q8NHM5
NA,NA,NA,Prot_A0A087WVK1,Prot_P36021,Prot_A0A087WVK1,Prot_B4DSN4,Prot_B4DSN4
NA,NA,NA,Prot_O00762,Prot_O76090,Prot_O00762,Prot_Q92597,Prot_Q92597
